COMMUNITY_CODE,COMMUNITY_NAME,TOTAL_POP_HOUSEHOLD
BLN,BELTLINE,25880
PAN,PANORAMA HILLS,25535
SAD,SADDLE RIDGE,24365
CRA,CRANSTON,20850
EVE,EVERGREEN,20780
TUS,TUSCANY,19700
EVN,EVANSTON,18710
AUB,AUBURN BAY,18090
TAR,TARADALE,17630
MCT,MCKENZIE TOWNE,17505
COV,COVENTRY HILLS,17350
EDG,EDGEMONT,15255
MRT,MARTINDALE,14540
CPF,COPPERFIELD,14095
MAH,MAHOGANY,13860
MCK,MCKENZIE LAKE,13290
HUN,HUNTINGTON HILLS,13120
SIG,SIGNAL HILL,13000
DDG,DOUGLASDALE/GLEN,12920
NEB,NEW BRIGHTON,12885
SKR,SKYVIEW RANCH,12870
BRI,BRIDLEWOOD,12545
CHA,CHAPARRAL,12500
VAR,VARSITY,12040
ROY,ROYAL OAK,11580
WSP,WEST SPRINGS,11560
HID,HIDDEN VALLEY,11540
BED,BEDDINGTON HEIGHTS,11295
WHI,WHITEHORN,11085
DOV,DOVER,10795
BOW,BOWNESS,10770
RUN,RUNDLE,10545
TEM,TEMPLE,10525
MOR,MONTEREY PARK,10475
ARB,ARBOUR LAKE,10335
FAL,FALCONRIDGE,10325
CIT,CITADEL,10180
LKB,LAKE BONAVISTA,10145
ACA,ACADIA,9915
,,
,,
PIN,PINERIDGE,9850
SPH,SPRINGBANK HILL,9840
SDC,SUNDANCE,9590
,,
,,
ASP,ASPEN WOODS,9435
SGH,SAGE HILL,9345
RIV,RIVERBEND,9205
HAW,HAWKWOOD,9115
SHN,SHAWNESSY,9055
RSN,REDSTONE,9050
MRL,MARLBOROUGH,8910
NOL,NOLAN HILL,8755
WBN,WOODBINE,8745
THO,THORNCLIFFE,8695
SIL,SILVER SPRINGS,8570
DAL,DALHOUSIE,8530
SOM,SOMERSET,8320
OGD,OGDEN,8315
MPK,MARLBOROUGH PARK,8290
PEN,PENBROOKE MEADOWS,8235
DNC,DOWNTOWN COMMERCIAL CORE,8225
ROC,ROCKY RIDGE,8195
LEG,LEGACY,8000
SVO,SILVERADO,7975
KIL,KILLARNEY/GLENGARRY,7920
SCE,SCENIC ACRES,7850
HAR,HARVEST HILLS,7805
WAL,WALDEN,7650
RAN,RANCHLANDS,7490
CAN,CANYON MEADOWS,7435
BRE,BRENTWOOD,7410
HAM,HAMPTONS,7360
ALT,ALTADORE,7290
GBK,GLENBROOK,7240
FLN,FOREST LAWN,7230
CGR,COUGAR RIDGE,7150
KCA,KINCORA,7030
HAY,HAYSBORO,6960
APP,APPLEWOOD PARK,6830
STR,STRATHCONA PARK,6830
ERI,ERIN WOODS,6790
ALB,ALBERT PARK/RADISSON HEIGHTS,6740
MLR,MILLRISE,6655
WHL,WEST HILLHURST,6635
REN,RENFREW,6580
GLA,GLAMORGAN,6575
SHW,SHERWOOD,6520
MID,MIDNAPORE,6480
BRD,BRIDGELAND/RIVERSIDE,6350
MOP,MOUNT PLEASANT,6325
CRE,CRESCENT HEIGHTS,6240
CNS,CORNERSTONE,6190
CAS,CASTLERIDGE,6130
SOW,SOUTHWOOD,6095
FHT,FOREST HEIGHTS,5985
CED,CEDARBRAE,5935
ABB,ABBEYDALE,5925
MAL,MAYLAND HEIGHTS,5925
WOO,WOODLANDS,5830
SAN,SANDSTONE VALLEY,5795
BRA,BRAESIDE,5700
LKV,LAKEVIEW,5640
OAK,OAKRIDGE,5620
COR,CORAL SPRINGS,5610
,,
,,
HIL,HILLHURST,5475
VAL,VALLEY RIDGE,5365
RIC,RICHMOND,5250
TUX,TUXEDO PARK,5165
BNK,BANKVIEW,5125
WIL,WILLOW PARK,5090
CSC,CITYSCAPE,5085
DRN,DEER RUN,4910
KIN,KINGSLAND,4900
MAC,MACEWAN GLEN,4740
CAP,CAPITOL HILL,4670
QLD,QUEENSLAND,4585
SOC,SOUTH CALGARY,4540
MIS,MISSION,4505
WND,WINDSOR PARK,4410
DIS,DISCOVERY RIDGE,4330
SPR,SPRUCE CLIFF,4195
MON,MONTGOMERY,4175
PAT,PATTERSON,4145
ING,INGLEWOOD,4130
HPK,HIGHLAND PARK,4105
SSD,SUNNYSIDE,4000
LIV,LIVINGSTON,3985
BNF,BANFF TRAIL,3805
DRG,DEER RIDGE,3795
FAI,FAIRVIEW,3675
COU,COUNTRY HILLS,3660
WIN,WINSTON HEIGHTS/MOUNTVIEW,3605
CHW,CHARLESWOOD,3595
SET,SETON,3590
RCK,ROSSCARROCK,3490
PKL,PARKLAND,3430
PAL,PALLISER,3285
EPK,ELBOW PARK,3285
COA,COACH HILL,3275
WGT,WESTGATE,3225
DNE,DOWNTOWN EAST VILLAGE,3140
SNA,SUNALTA,3090
LMR,LOWER MOUNT ROYAL,2990
UNI,UNIVERSITY HEIGHTS,2965
GAW,GARRISON WOODS,2860
DNW,DOWNTOWN WEST END,2825
WLD,WILDWOOD,2765
,,
CAR,CARRINGTON,2750
UMR,UPPER MOUNT ROYAL,2735
GDL,GLENDALE,2715
CHV,COUNTRY HILLS VILLAGE,2480
HOU,HOUNSFIELD HEIGHTS/BRIAR HILL,2470
NGM,NORTH GLENMORE PARK,2435
NHV,NORTH HAVEN,2365
PKD,PARKDALE,2300
VIS,VISTA HEIGHTS,2300
COL,COLLINGWOOD,2290
CRM,CRESTMONT,2275
,,
CHN,CHINATOWN,2250
HIW,HIGHWOOD,2205
RAM,RAMSAY,2155
RUT,RUTLAND PARK,2140
GRV,GREENVIEW,2100
SHS,SHAWNEE SLOPES,2020
CAM,CAMBRIAN HEIGHTS,2000
CHR,CHRISTIE PARK,1880
EAU,EAU CLAIRE,1875
,,
EYA,ELBOYA,1835
MPL,MAPLE RIDGE,1830
KEL,KELVIN GROVE,1805
CLI,CLIFF BUNGALOW,1805
PKH,PARKHILL,1770
SHG,SHAGANAPPI,1765
RED,RED CARPET,1745
GAG,GARRISON GREEN,1680
LPK,LINCOLN PARK,1590
SOV,SOUTHVIEW,1550
CHK,CHINOOK PARK,1535
RDL,ROSEDALE,1495
PUM,PUMP HILL,1455
STA,ST. ANDREWS HEIGHTS,1345
POI,POINT MCKAY,1330
ERL,ERLTON,1280
CUR,CURRIE BARRACKS,1275
RMT,ROSEMONT,1155
GRE,GREENWOOD/GREENBRIAR,1055
SCA,SCARBORO,1010
UND,UNIVERSITY DISTRICT,960
MAN,MANCHESTER,950
BDO,BONAVISTA DOWNS,830
BLM,BELMONT,800
BRT,BRITANNIA,765
YKV,YORKVILLE,715
RID,RIDEAU PARK,675
BYV,BAYVIEW,670
NHU,NORTH HAVEN UPPER,640
DIA,DIAMOND COVE,625
MEA,MEADOWLARK PARK,610
WWO,WOLF WILLOW,525
SSW,SCARBORO/ SUNALTA WEST,465
FPK,FISH CREEK PARK,430
ROX,ROXBORO,415
MAF,MAYFAIR,410
BEL,BEL-AIRE,400
QPK,QUEENS PARK VILLAGE,375
SHI,SHEPARD INDUSTRIAL,265
EAG,EAGLE RIDGE,260
PCK,PINE CREEK,245
